1,2026-08-20 09:42:08,2,218,0,0,1
2,2026-08-20 09:42:18,3,14,0,0,1
3,2026-08-20 09:42:23,5,52,0,0,1
4,2026-08-20 09:42:28,12,11,0,0,1
5,2026-08-20 09:42:33,19,30,0,0,1
6,2026-08-20 09:42:40,22,107,0,0,1
7,2026-08-20 09:42:08,1,1507,0,0,1
8,2026-08-20 09:42:24,7,839,0,0,1
9,2026-08-20 09:42:48,23,274,0,0,1
1,2026-08-20 09:44:34,2,193,0,0,1
2,2026-08-20 09:44:43,5,204,0,0,1
3,2026-08-20 09:44:38,4,359,0,0,1
4,2026-08-20 09:44:34,1,480,0,0,1
5,2026-08-20 09:44:54,7,99,0,0,1
6,2026-08-20 09:44:57,11,80,0,0,1
7,2026-08-20 09:45:00,14,49,0,0,1
8,2026-08-20 09:44:52,6,310,0,0,1
9,2026-08-20 09:45:02,16,64,0,0,1
1,2026-08-20 10:05:19,8,14,0,0,1
2,2026-08-20 10:05:28,26,12,0,0,1
3,2026-08-20 10:05:33,37,10,0,0,1
4,2026-08-20 10:05:34,48,11,0,0,1
5,2026-08-20 10:05:17,1,498,1,0,1
6,2026-08-20 10:05:17,2,526,0,0,1
1,2026-08-20 10:08:59,8,30,0,0,1
2,2026-08-20 10:09:05,16,20,0,0,1
3,2026-08-20 10:09:06,21,21,0,0,1
4,2026-08-20 10:08:57,1,302,0,0,1
5,2026-08-20 10:08:57,2,236,0,0,1
6,2026-08-20 10:09:08,25,26,0,0,1
1,2026-08-20 10:12:48,1,215,0,0,1
2,2026-08-20 10:12:59,12,44,0,0,1
3,2026-08-20 10:12:57,10,187,0,0,1
4,2026-08-20 10:13:07,16,26,0,0,1
5,2026-08-20 10:13:18,19,32,0,0,1
6,2026-08-20 10:13:21,20,17,0,0,1
7,2026-08-20 10:13:26,30,463,0,0,1
8,2026-08-20 10:13:26,28,513,0,0,1
9,2026-08-20 10:13:52,49,196,0,0,1
10,2026-08-20 10:14:02,60,39,0,0,1
11,2026-08-20 10:13:50,48,355,0,0,1
12,2026-08-20 10:14:09,65,10,0,0,1
13,2026-08-20 10:14:11,66,20,0,0,1
14,2026-08-20 10:14:09,64,51,0,0,1
15,2026-08-20 10:14:12,67,70,0,0,1
1,2026-08-20 10:29:19,9,10,0,0,1
2,2026-08-20 10:29:22,11,23,0,0,1
3,2026-08-20 10:29:24,12,30,0,0,1
4,2026-08-20 10:29:33,19,13,0,0,1
5,2026-08-20 10:29:31,17,40,0,0,1
6,2026-08-20 10:29:35,22,39,0,0,1
7,2026-08-20 10:29:37,23,31,0,0,1
8,2026-08-20 10:29:12,4,651,0,0,1
9,2026-08-20 10:29:44,37,53,0,0,1
1,2026-08-20 11:15:48,1,77,0,0,1
2,2026-08-20 11:15:50,2,72,0,0,1
1,2026-08-20 11:16:54,1,70,0,0,1
2,2026-08-20 11:16:54,2,64,0,0,1
1,2026-08-20 11:22:15,1,67,0,0,1
2,2026-08-20 11:22:15,2,105,0,0,1
3,2026-08-20 11:22:15,3,104,0,0,1
1,2026-08-20 11:59:17,1,481,0,0,1
2,2026-08-20 11:59:18,3,382,0,0,1
1,2026-08-21 11:16:28,1,170,1,0,1
1,2026-08-21 11:17:42,1,26,0,0,1
2,2026-08-21 11:17:43,3,103,0,0,1
3,2026-08-21 11:17:45,5,92,0,0,1
1,2026-08-21 14:11:26,1,298,0,0,1
1,2026-08-21 21:42:32,1,164,0,0,1
2,2026-08-21 21:42:42,3,228,0,0,1
1,2026-08-21 21:45:20,1,108,0,0,1
1,2026-08-21 21:46:55,1,378,0,0,1
1,2026-08-21 21:47:45,1,743,0,0,1
1,2026-08-21 22:11:52,1,193,0,0,1
1,2026-08-21 22:20:51,1,511,0,0,1
2,2026-08-21 22:21:19,3,180,0,0,1
1,2026-08-23 12:05:41,1,1225,0,0,1
1,2026-08-23 12:17:22,1,25,0,0,1
2,2026-08-23 12:17:24,4,138,0,0,1
3,2026-08-23 12:17:32,5,250,0,0,1
4,2026-08-23 12:17:42,8,24,0,1,1
5,2026-08-23 12:17:41,6,99,0,1,1
6,2026-08-23 12:17:44,14,65,0,0,1
7,2026-08-23 12:17:44,16,36,0,0,1
8,2026-08-23 12:17:48,21,22,0,0,1
1,2026-08-23 18:47:28,1,23,0,1,1
2,2026-08-23 18:47:32,10,69,0,1,1
3,2026-08-23 18:47:37,21,16,0,1,1
4,2026-08-23 18:47:57,28,334,0,1,1
5,2026-08-23 18:48:14,43,1170,0,0,1
1,2026-08-24 13:21:46,2,28,0,0,1
2,2026-08-24 13:21:42,1,303,0,0,1
3,2026-08-24 13:21:56,4,103,0,0,1
4,2026-08-24 13:22:05,9,280,0,0,1
5,2026-08-24 13:22:27,16,13,0,0,1
6,2026-08-24 13:22:42,27,85,0,0,1
7,2026-08-24 13:22:53,39,18,0,0,1
8,2026-08-24 13:23:01,49,10,0,0,1
9,2026-08-24 13:23:14,64,17,0,0,1
10,2026-08-24 13:23:24,74,36,1,0,1
11,2026-08-24 13:23:30,77,13,0,0,1
12,2026-08-24 13:23:33,78,61,0,0,1
13,2026-08-24 13:22:26,15,1008,0,1,1
14,2026-08-24 13:23:40,77,31,0,1,1
1,2026-08-24 13:35:38,1,31,0,0,1
2,2026-08-24 13:35:13,6,453,0,0,1
3,2026-08-24 13:35:37,16,442,0,0,1
4,2026-08-24 13:35:53,20,597,0,1,1
5,2026-08-24 13:36:31,26,202,0,0,1
6,2026-08-24 13:36:45,31,32,0,0,1
7,2026-08-24 13:36:47,32,11,0,0,1
8,2026-08-24 13:36:42,30,237,0,1,1
1,2026-08-24 13:40:51,1,151,0,0,1
2,2026-08-24 13:41:13,17,81,0,0,1
3,2026-08-24 13:41:14,19,183,0,0,1
4,2026-08-24 13:41:27,26,136,0,0,1
5,2026-08-24 13:41:38,32,30,0,0,1
6,2026-08-24 13:41:40,33,364,0,0,1
7,2026-08-24 13:42:22,52,14,0,0,1
8,2026-08-24 13:42:24,58,10,0,0,1
9,2026-08-24 13:42:28,63,35,0,0,1
10,2026-08-24 13:41:00,6,1722,0,0,1
11,2026-08-24 13:43:03,69,77,0,0,1
12,2026-08-24 13:43:03,70,70,0,0,1
13,2026-08-24 13:43:07,72,19,0,0,1
1,2026-08-24 13:59:25,5,530,0,0,1
2,2026-08-24 13:59:23,4,585,0,0,1
3,2026-08-24 14:00:05,38,28,0,0,1
4,2026-08-24 14:00:09,43,147,0,0,1
5,2026-08-24 13:59:12,1,1201,0,0,1
6,2026-08-24 14:00:09,42,356,0,0,1
7,2026-08-24 14:00:28,47,36,0,0,1
1,2026-08-26 09:57:24,5,28,0,0,1
2,2026-08-26 09:57:26,8,16,0,0,1
3,2026-08-26 09:57:24,6,37,0,0,1
4,2026-08-26 09:57:20,1,84,0,0,1
5,2026-08-26 09:57:29,14,54,0,0,1
6,2026-08-26 09:57:22,4,207,0,0,1
7,2026-08-26 09:57:36,20,29,0,0,1
8,2026-08-26 09:57:28,13,165,0,0,1
9,2026-08-26 09:57:41,21,14,0,0,1
10,2026-08-26 09:57:32,17,179,0,0,1
11,2026-08-26 09:57:42,22,331,0,0,1
12,2026-08-26 09:57:52,30,311,0,0,1
13,2026-08-26 09:58:08,43,74,0,0,1
14,2026-08-26 09:57:35,19,764,0,1,1
